model,train set images,pretrained,pretrained dataset,Trained layers,epochs,batch size,learning rate,optimizer,training time (seconds),train accuracy,train loss,validation accuracy,validation loss,test accuracy,normalization
resnet,20871,True,Imagenet,All,30,50,0.05_0.8,SGD,2540.2258594036102,0.441809207201004,1.231171727180481,0.25,1.555191993713379,0.25,
resnet,20871,True,Imagenet,All,30,50,0.05_0.9,SGD,2538.097457885742,0.441809207201004,1.2312328815460205,0.25,1.5596545934677124,0.25,
resnet,20871,True,Imagenet,All,30,50,0.01_0.6,SGD,2531.40714097023,0.441809207201004,1.2310363054275513,0.25,1.5566840171813965,0.25,
resnet,20871,True,Imagenet,All,30,50,0.01_0.7,SGD,2540.895384073257,0.441809207201004,1.2310413122177124,0.25,1.5569815635681152,0.25,
resnet,20871,True,Imagenet,All,30,50,0.01_0.8,SGD,2537.8125998973846,0.441809207201004,1.2310504913330078,0.25,1.5571223497390747,0.25,
resnet,20871,True,Imagenet,All,30,50,0.01_0.9,SGD,2540.9449334144592,0.441809207201004,1.231066107749939,0.25,1.5575872659683228,0.25,
resnet,20871,True,Imagenet,All,30,50,0.005_0.6,SGD,2534.3226964473724,0.441809207201004,1.2310291528701782,0.25,1.5570616722106934,0.25,
resnet,20871,True,Imagenet,All,30,50,0.005_0.7,SGD,2545.3236951828003,0.441809207201004,1.2310341596603394,0.25,1.557138204574585,0.25,
resnet,20871,True,Imagenet,All,30,50,0.005_0.8,SGD,2546.1998999118805,0.441809207201004,1.231037139892578,0.25,1.5570635795593262,0.25,
resnet,20871,True,Imagenet,All,30,50,0.005_0.9,SGD,2539.9939000606537,0.441809207201004,1.2310478687286377,0.25,1.5569067001342771,0.25,
resnet,834,False,,All,30,50,0.1_0.6,SGD,198.6403453350067,0.4652278125286102,1.1932971477508545,0.25,1.5893574953079224,0.25,
resnet,2087,False,,All,30,50,0.1_0.6,SGD,349.4751124382019,0.8883565068244934,0.425407350063324,0.625,0.9559075236320496,0.6580578512396694,
resnet,4174,False,,All,30,50,0.1_0.6,SGD,595.7400403022766,0.886679470539093,0.3161405622959137,0.625,1.0948675870895386,0.6900826446280992,
resnet,6261,False,,All,30,50,0.1_0.6,SGD,848.2630259990692,0.4435393810272217,1.2292124032974243,0.25,1.5585391521453855,0.25,
resnet,7513,False,,All,30,50,0.1_0.6,SGD,997.9892466068268,0.4407027959823608,1.2309112548828125,0.25,1.5565017461776731,0.25,
resnet,8348,False,,All,30,50,0.1_0.6,SGD,1097.4413344860077,0.9814326763153076,0.1572361886501312,0.90625,0.4154099822044372,0.9421487603305784,
resnet,20871,False,,All,30,50,0.1_0.6,SGD,2589.49772977829,0.9921422004699708,0.0604322925209999,1.0,0.0515220463275909,0.9793388429752066,
resnet,33393,False,,All,30,50,0.1_0.6,SGD,4082.793215274811,0.7472224831581116,0.7235391139984131,0.5,1.0975278615951538,0.496900826446281,
resnet,41742,False,,All,30,50,0.1_0.6,SGD,5088.8538229465485,0.995064914226532,0.0289031621068716,1.0,0.0142238335683941,0.9886363636363636,
resnet,50090,False,,All,30,50,0.1_0.6,SGD,6098.548704147339,0.9957675933837892,0.0240808706730604,1.0,0.0295482389628887,0.9886363636363636,
resnet,62613,False,,All,30,50,0.1_0.6,SGD,7589.966109037399,0.995751678943634,0.0216862894594669,0.96875,0.1631534546613693,0.993801652892562,
resnet,75135,False,,All,30,50,0.1_0.6,SGD,9085.329491853714,0.9958208799362184,0.019059594720602,1.0,0.0132962092757225,0.993801652892562,
resnet,83484,False,,All,30,50,0.1_0.6,SGD,10074.513168096542,0.9956518411636353,0.0139012560248374,0.96875,0.0368401408195495,0.9927685950413224,
resnet,834,False,,All,30,50,0.05_0.6,SGD,209.13450050354004,0.4652278125286102,1.2018002271652222,0.25,1.58529794216156,0.25,
resnet,2087,False,,All,30,50,0.05_0.6,SGD,349.18007016181946,0.4647819697856903,1.204311490058899,0.25,1.5839966535568235,0.25,
resnet,4174,False,,All,30,50,0.05_0.6,SGD,597.9467327594757,0.8231911659240723,0.4686879515647888,0.5625,0.992254674434662,0.5754132231404959,
resnet,6261,False,,All,30,50,0.05_0.6,SGD,843.5829725265503,0.8845232129096985,0.3742632567882538,0.625,0.8183192014694214,0.6642561983471075,
resnet,7513,False,,All,30,50,0.05_0.6,SGD,994.1529107093812,0.892985463142395,0.2780469954013824,0.75,0.5589805841445923,0.7365702479338843,
resnet,8348,False,,All,30,50,0.05_0.6,SGD,1095.1854503154757,0.737541913986206,0.8690823316574097,0.3125,1.5638258457183838,0.3357438016528926,
resnet,20871,False,,All,30,50,0.05_0.6,SGD,2595.9874680042267,0.9937712550163268,0.0543259195983409,1.0,0.0433670431375503,0.987603305785124,
resnet,33393,False,,All,30,50,0.05_0.6,SGD,4084.043229103088,0.9950588345527648,0.0370769910514354,1.0,0.0221686847507953,0.987603305785124,
resnet,41742,False,,All,30,50,0.05_0.6,SGD,5071.564338684082,0.9957357048988342,0.0293054617941379,1.0,0.0172188878059387,0.987603305785124,
resnet,50090,False,,All,30,50,0.05_0.6,SGD,6272.705027580261,0.996366560459137,0.0193142592906951,0.96875,0.0915381163358688,0.9927685950413224,
resnet,62613,False,,All,30,50,0.05_0.6,SGD,8535.412808418274,0.9957357048988342,0.0212513823062181,0.96875,0.1818784028291702,0.9917355371900828,
resnet,75135,False,,All,30,50,0.05_0.6,SGD,10864.895267248154,0.9956744313240052,0.0179564915597438,0.96875,0.2046823054552078,0.9979338842975206,
resnet,83484,False,,All,30,50,0.05_0.6,SGD,10689.895702838898,0.9956398606300354,0.016635276377201,1.0,0.0250634010881185,0.9958677685950412,
resnet,33393,False,,All,30,50,0.1_0.6,SGD,4081.95840382576,0.9951786398887634,0.0303294826298952,1.0,0.0137551296502351,0.9907024793388428,
resnet,33393,False,,All,30,50,0.1_0.6,SGD,4085.784299612045,0.9953283667564392,0.0374942682683467,1.0,0.0273206513375043,0.9927685950413224,
resnet,33393,False,,All,30,50,0.1_0.6,SGD,4111.663804769516,0.9962866306304932,0.0318610407412052,0.96875,0.1872684210538864,0.9907024793388428,
resnet,33393,False,,All,30,50,0.1_0.6,SGD,4299.163697719574,0.9963765144348145,0.0318799950182437,1.0,0.0258004814386367,0.9927685950413224,
resnet,8348,False,,All,30,50,0.05_0.6,SGD,2016.014333486557,0.8897939920425415,0.2785086333751678,0.6875,0.5973261594772339,0.7200413223140496,
resnet,8348,False,,All,30,50,0.05_0.6,SGD,2157.828369379044,0.441423088312149,1.2393558025360107,0.25,1.5461113452911377,0.25,
resnet,8348,False,,All,30,50,0.05_0.6,SGD,2151.760757684708,0.7350263595581055,0.842619776725769,0.25,2.0517611503601074,0.253099173553719,
resnet,8348,False,,All,30,50,0.05_0.6,SGD,2151.50701713562,0.7541926503181458,0.5630154609680176,0.5,1.1142313480377195,0.5,
octnet,834,False,,All,30,50,0.001,Adam,38.835200786590576,0.8033573031425476,0.6265133619308472,0.59375,1.1228102445602417,0.5878099173553719,
octnet,2087,False,,All,30,50,0.001,Adam,59.98352122306824,0.8461906909942627,0.4214923679828644,0.625,0.7720046639442444,0.7004132231404959,
octnet,4174,False,,All,30,50,0.001,Adam,111.45443797111513,0.893866777420044,0.295188844203949,0.8125,0.7180857062339783,0.7634297520661157,
octnet,6261,False,,All,30,50,0.001,Adam,162.74531626701355,0.8990576863288879,0.2704504430294037,0.84375,0.4787315130233764,0.8264462809917356,
octnet,7513,False,,All,30,50,0.001,Adam,193.03221035003665,0.9202715158462524,0.2125772684812545,0.9375,0.2575317323207855,0.8553719008264463,
octnet,8348,False,,All,30,50,0.001,Adam,214.78457880020144,0.9440584778785706,0.1722463518381118,0.90625,0.2847452163696289,0.8966942148760331,
octnet,20871,False,,All,30,50,0.001,Adam,521.1956028938293,0.9731684923171996,0.0787511244416236,0.90625,0.4884962141513824,0.9380165289256198,
octnet,33393,False,,All,30,50,0.001,Adam,830.4817643165588,0.986074924468994,0.040555041283369,1.0,0.0213028732687234,0.9669421487603306,
octnet,41742,False,,All,30,50,0.001,Adam,1039.5252304077148,0.9872310757637024,0.0386469848453998,1.0,0.0089312829077243,0.9700413223140496,
octnet,50090,False,,All,30,50,0.001,Adam,1251.4596729278564,0.9860451221466064,0.0401923209428787,1.0,0.0190412905067205,0.9824380165289256,
octnet,62613,False,,All,30,50,0.001,Adam,1568.6181638240814,0.9911839365959167,0.0262831859290599,0.96875,0.4353169500827789,0.9803719008264464,
octnet,75135,False,,All,30,50,0.001,Adam,1883.1572349071505,0.9913888573646544,0.0262108445167541,0.9375,0.2039238959550857,0.9865702479338844,
octnet,83484,False,,All,30,50,0.001,Adam,2042.6481709480288,0.9906808733940125,0.0279327500611543,0.96875,0.0413249656558036,0.9865702479338844,
