model,train set images,pretrained,trained layers,accuracy,iou,recall,precision,f1-score,cohen kappa
resnet,"(62613, 62613.0)",False,False,0.9979338842975206,0.9958847039696519,0.9979338842975206,0.9979508196721312,0.9979359967282672,0.9972451790633609
resnet,"(62613, 62613.0)",True,True,0.26239669421487605,0.12721408478470614,0.26239669421487605,0.2752943185353111,0.22011661189910772,0.016528925619834656
resnet,"(62613, 62613.0)",True,False,0.9948347107438017,0.9897739819988624,0.9948347107438017,0.9949392712550608,0.9948341594408938,0.9931129476584022
resnet,"(75136, 75135.6)",False,False,0.9979338842975206,0.9958847039696519,0.9979338842975206,0.9979508196721312,0.9979359967282672,0.9972451790633609
resnet,"(75136, 75135.6)",True,True,0.24173553719008264,0.12148994536048796,0.24173553719008264,0.2178877606631193,0.21026232262264652,-0.011019283746556363
resnet,"(75136, 75135.6)",True,False,0.9989669421487604,0.9979381355643983,0.9989669421487604,0.9989711934156379,0.998966937738789,0.9986225895316805
resnet,"(83484, 83484.0)",False,False,0.9989669421487604,0.9979381355643983,0.9989669421487604,0.9989711934156379,0.998966937738789,0.9986225895316805
resnet,"(83484, 83484.0)",True,True,0.22210743801652894,0.10610359348587098,0.22210743801652894,0.18905352930521122,0.18522602050615558,-0.037190082644628086
resnet,"(83484, 83484.0)",True,False,0.9989669421487604,0.9979381355643983,0.9989669421487604,0.9989711934156379,0.998966937738789,0.9986225895316805
xception,"(835, 834.84)",False,False,0.2644628099173554,0.07815257214350045,0.2644628099173554,0.16484458735262594,0.128249481526999,0.019283746556473802
xception,"(835, 834.84)",True,True,0.24793388429752067,0.07304513373521364,0.24793388429752067,0.15736750257908388,0.12043381040279179,-0.0027548209366390353
xception,"(835, 834.84)",True,False,0.5,0.32457657178327565,0.5,0.32457657178327565,0.37124407292520684,0.33333333333333337
xception,"(2087, 2087.1)",False,False,0.7283057851239669,0.5548426935786134,0.7283057851239669,0.5662315311500095,0.6316715452313364,0.637741046831956
xception,"(2087, 2087.1)",True,True,0.2334710743801653,0.07195000132306634,0.2334710743801653,0.21013743194794846,0.12186172678055233,-0.02203856749311295
xception,"(2087, 2087.1)",True,False,0.7407024793388429,0.6111363580040395,0.7407024793388429,0.6203479447991438,0.6590371735634347,0.6542699724517906
xception,"(4174, 4174.2)",False,False,0.7417355371900827,0.5859904219937616,0.7417355371900827,0.5912193875914126,0.6489298897342187,0.6556473829201102
xception,"(4174, 4174.2)",True,True,0.24586776859504134,0.07180684460329358,0.24586776859504134,0.11412191701723995,0.11814248458985302,-0.005509641873278293
